epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,6410.43,0.68377,0.37965,0.85617,0.96536,0.97276,0.98699,0.80291,0.72608,0.34567,0.87936,6.5675e-05,6.5675e-05,6.5675e-05
61,6516.98,0.68874,0.3775,0.85591,0.95717,0.97825,0.9857,0.80047,0.72382,0.34666,0.88138,6.30145e-05,6.30145e-05,6.30145e-05
62,6621.95,0.68166,0.38236,0.85711,0.95694,0.98087,0.98757,0.79836,0.72059,0.34749,0.87472,6.03811e-05,6.03811e-05,6.03811e-05
63,6726.95,0.67416,0.36777,0.85301,0.95113,0.97543,0.9827,0.80357,0.71728,0.34535,0.87617,5.77773e-05,5.77773e-05,5.77773e-05
64,6832.08,0.67551,0.37381,0.85628,0.96678,0.9738,0.98748,0.80503,0.72243,0.34398,0.87879,5.52057e-05,5.52057e-05,5.52057e-05
65,6940.65,0.6766,0.36968,0.85501,0.95197,0.97754,0.98765,0.80586,0.72057,0.33823,0.8792,5.26688e-05,5.26688e-05,5.26688e-05
66,7066.32,0.66933,0.36863,0.85114,0.96387,0.97663,0.98874,0.80993,0.71759,0.33468,0.8773,5.01692e-05,5.01692e-05,5.01692e-05
67,7180.46,0.67132,0.37107,0.85068,0.95676,0.98102,0.98841,0.80885,0.71924,0.33921,0.88203,4.77092e-05,4.77092e-05,4.77092e-05
68,7285.92,0.67701,0.36023,0.85434,0.95828,0.97577,0.98513,0.80255,0.72265,0.34127,0.87874,4.52914e-05,4.52914e-05,4.52914e-05
69,7391.34,0.65679,0.36098,0.84773,0.95722,0.97599,0.98845,0.80519,0.71964,0.33936,0.87817,4.29181e-05,4.29181e-05,4.29181e-05
70,7496.47,0.6727,0.36078,0.84998,0.95303,0.97591,0.98633,0.81065,0.71427,0.334,0.87733,4.05916e-05,4.05916e-05,4.05916e-05
71,7602.61,0.66168,0.35876,0.85167,0.95843,0.97569,0.98794,0.81007,0.71937,0.33681,0.87684,3.83143e-05,3.83143e-05,3.83143e-05
72,7708.78,0.66049,0.35653,0.84454,0.95482,0.97366,0.98463,0.80632,0.72152,0.33716,0.87865,3.60884e-05,3.60884e-05,3.60884e-05
73,7813.91,0.66994,0.36211,0.84583,0.95732,0.98294,0.98789,0.80686,0.72442,0.33678,0.87901,3.3916e-05,3.3916e-05,3.3916e-05
74,7920.27,0.65152,0.34809,0.84843,0.9613,0.97983,0.98742,0.80909,0.71769,0.33516,0.87878,3.17995e-05,3.17995e-05,3.17995e-05
75,8025.52,0.65613,0.35254,0.84605,0.95948,0.97536,0.98849,0.80823,0.71729,0.33196,0.87808,2.97407e-05,2.97407e-05,2.97407e-05
76,8131.9,0.65775,0.34839,0.84653,0.96154,0.97894,0.98756,0.8088,0.71561,0.33369,0.87727,2.77418e-05,2.77418e-05,2.77418e-05
77,8237.65,0.65128,0.35043,0.84836,0.96753,0.98054,0.98726,0.80674,0.71818,0.33331,0.87769,2.58047e-05,2.58047e-05,2.58047e-05
78,8342.38,0.64927,0.3455,0.84878,0.9632,0.98035,0.98779,0.81077,0.71792,0.32996,0.87726,2.39314e-05,2.39314e-05,2.39314e-05
79,8449.71,0.64876,0.34614,0.84499,0.96079,0.9849,0.98743,0.80719,0.71756,0.32913,0.87729,2.21237e-05,2.21237e-05,2.21237e-05
80,8554.59,0.63796,0.34275,0.83901,0.96195,0.97698,0.98738,0.8117,0.71629,0.33203,0.87781,2.03833e-05,2.03833e-05,2.03833e-05
81,8659.84,0.64416,0.33919,0.84576,0.96763,0.97664,0.98772,0.80921,0.71534,0.32979,0.87847,1.8712e-05,1.8712e-05,1.8712e-05
82,8765.59,0.64658,0.34202,0.84374,0.96238,0.97674,0.98456,0.81349,0.71407,0.32872,0.8768,1.71115e-05,1.71115e-05,1.71115e-05
83,8871.75,0.6387,0.34186,0.84333,0.95898,0.97522,0.9845,0.81152,0.71439,0.32738,0.87787,1.55833e-05,1.55833e-05,1.55833e-05
84,8976.97,0.63837,0.33762,0.83938,0.96053,0.98078,0.98573,0.8105,0.71456,0.32778,0.87762,1.4129e-05,1.4129e-05,1.4129e-05
85,9082.4,0.64345,0.34464,0.8452,0.96074,0.98152,0.9875,0.81275,0.71519,0.32831,0.87761,1.27498e-05,1.27498e-05,1.27498e-05
86,9188.11,0.64186,0.34635,0.84335,0.9594,0.98155,0.98717,0.80937,0.71304,0.32531,0.87701,1.14474e-05,1.14474e-05,1.14474e-05
87,9293.44,0.63853,0.34121,0.83828,0.96378,0.97725,0.98827,0.81347,0.71097,0.32618,0.87723,1.02228e-05,1.02228e-05,1.02228e-05
